Date,Description,Type,Money Out,Money In,Balance
06/04/2026,OPENING BALANCE,BAL,,,4250.00
07/04/2026,WICKES BUILD MANCHESTER,CARD,1311.74,,2938.26
08/04/2026,SHELL PETROL STATION,CARD,95.20,,2843.06
10/04/2026,TESCO STORES 2841,CARD,68.35,,2774.71
14/04/2026,P WHITTAKER PATIO DEPOSIT,FPI,,1400.00,4174.71
17/04/2026,TRAVIS PERKINS MANCHESTER,CARD,1246.80,,2927.91
20/04/2026,VODAFONE MOBILE,DD,28.33,,2899.58
24/04/2026,J DAWSON LABOUR WK 3-4,FPO,600.00,,2299.58
28/04/2026,ESSO FUEL SERVICES,CARD,88.40,,2211.18
01/05/2026,A HANNAM GARDEN WALL,FPI,,900.00,3111.18
05/05/2026,BARDSLEY CONSTRUCTION LTD,FPI,,1990.00,5101.18
06/05/2026,SCREWFIX DIRECT,CARD,388.20,,4712.98
08/05/2026,COSTA COFFEE MANCHESTER,CARD,4.85,,4708.13
12/05/2026,ZURICH PUBLIC LIABILITY INS,DD,212.50,,4495.63
15/05/2026,JEWSON LTD,CARD,574.31,,3921.32
15/05/2026,WICKES BUILD MANCHESTER,CARD,243.90,,3677.42
18/05/2026,SHELL PETROL STATION,CARD,102.15,,3575.27
20/05/2026,VODAFONE MOBILE,DD,28.33,,3546.94
22/05/2026,R AND K MOTORS VAN SERVICE,CARD,184.50,,3362.44
26/05/2026,T BARLOW BATHROOM REPAIR,FPI,,1150.00,4512.44
29/05/2026,TRANSFER TO SAVINGS,TFR,500.00,,4012.44
05/06/2026,BARDSLEY CONSTRUCTION LTD,FPI,,1480.00,5492.44
09/06/2026,BP FUEL EXPRESS,CARD,79.60,,5412.84
12/06/2026,J DAWSON LABOUR WK 9-10,FPO,600.00,,4812.84
16/06/2026,E COLLINS KITCHEN REFIT FINAL,FPI,,4850.00,9662.84
19/06/2026,TRAVIS PERKINS MANCHESTER,CARD,617.50,,9045.34
20/06/2026,VODAFONE MOBILE,DD,28.33,,9017.01
23/06/2026,TESCO STORES 2841,CARD,82.10,,8934.91
26/06/2026,D FIELDING FENCE REPAIR,FPI,,1300.00,10234.91
30/06/2026,SHELL PETROL STATION,CARD,91.35,,10143.56
03/07/2026,MILLBROOK HOMES LTD,FPI,,1590.00,11733.56
03/07/2026,TRADESITE WEB HOSTING,DD,100.00,,11633.56
